px,py,vx,vy,px_meas,py_meas,px_true,py_true,vx_truevy_true
20.3653,12.5128,0.072476,4.54803,20.0192,12.4823,20.2652,12.5522,-0.161529,4.82451
20.3817,12.7776,0.0825627,4.63326,20.498,12.8924,20.254,12.7933,-0.28939,4.81605
20.3721,12.9938,-0.0682874,4.51494,20.9151,12.2555,20.2363,13.0339,-0.417348,4.80428
20.3334,13.2223,-0.141956,4.53326,20.1943,13.1688,20.2122,13.2738,-0.545298,4.78918
20.3037,13.4326,-0.25426,4.45198,19.858,13.5236,20.1818,13.5129,-0.673135,4.77072
20.2719,13.7292,-0.326439,4.63377,20.3245,13.8896,20.1449,13.7509,-0.800753,4.74892
20.2252,13.9322,-0.566371,4.44049,20.3387,13.5307,20.1017,13.9878,-0.928043,4.72374
20.1571,14.2231,-0.680043,4.61596,20.1216,14.337,20.0521,14.2233,-1.0549,4.69521
20.0932,14.4284,-0.852221,4.47616,19.6717,14.4038,19.9962,14.4573,-1.18121,4.66331
19.9694,14.7233,-1.05497,4.67022,19.781,14.773,19.934,14.6897,-1.30687,4.62805
19.8953,14.9355,-1.16001,4.57315,20.1149,14.0165,19.8655,14.9202,-1.43177,4.58944
19.8788,15.1552,-1.06813,4.53809,20.0208,15.2053,19.7908,15.1486,-1.55581,4.54751
19.7734,15.3247,-1.59241,4.06921,20.0157,15.3443,19.7099,15.3749,-1.67887,4.50226
19.7471,15.5096,-1.47036,4.00797,19.9131,15.554,19.6229,15.5989,-1.80085,4.45372
19.6606,15.6959,-1.55215,3.9298,19.9388,15.0864,19.5298,15.8203,-1.92164,4.40193
19.5404,15.9421,-1.66635,4.05897,19.4748,16.0098,19.4307,16.039,-2.04114,4.3469
19.4429,16.1327,-1.71509,4.01487,19.1556,16.0022,19.3257,16.2549,-2.15925,4.28868
19.3331,16.3292,-1.76489,4.01374,19.238,16.2719,19.2148,16.4679,-2.27586,4.22731
19.224,16.5047,-1.95759,3.8221,19.4007,16.2962,19.0981,16.6777,-2.39087,4.16284
19.0752,16.7542,-2.09531,3.97274,19.0029,16.8387,18.9757,16.8841,-2.50418,4.0953
18.942,16.9141,-2.46929,3.5895,18.8373,17.7112,18.8477,17.0872,-2.61571,4.02476
18.7266,17.205,-2.72254,3.87319,18.6148,17.3832,18.7142,17.2866,-2.72534,3.95127
18.6022,17.4144,-2.59121,4.01446,18.8177,17.0316,18.5752,17.4822,-2.83299,3.87489
18.3768,17.6431,-2.81571,4.11067,18.1023,17.5529,18.4309,17.674,-2.93858,3.79568
18.2237,17.8329,-2.88423,4.0304,18.2749,17.4877,18.2814,17.8617,-3.042,3.71372
18.1151,18.0216,-2.79888,3.98949,18.2094,18.0461,18.1268,18.0453,-3.14318,3.62906
17.9371,18.1668,-3.11167,3.61617,18.3021,17.498,17.9671,18.2246,-3.24204,3.5418
17.8326,18.2963,-2.97279,3.48544,17.9018,18.2183,17.8026,18.3994,-3.3385,3.45199
17.6927,18.4718,-3.04186,3.38948,18.8558,18.1364,17.6334,18.5697,-3.43247,3.35973
17.4868,18.678,-3.18043,3.4888,17.3845,18.7039,17.4595,18.7353,-3.5239,3.26509
17.3019,18.8121,-3.38806,3.21949,17.7945,18.0801,17.281,18.8962,-3.61271,3.16817
17.1564,18.9441,-3.32023,3.14809,17.1762,18.8863,17.0983,19.0521,-3.69883,3.06904
16.9926,19.1005,-3.39766,3.04842,16.9398,19.7311,16.9113,19.203,-3.78221,2.9678
16.7718,19.2299,-3.5026,3.01623,16.5734,19.052,16.7201,19.3488,-3.86278,2.86455
16.5898,19.3667,-3.64965,2.82183,16.1674,20.2201,16.5251,19.4894,-3.9405,2.75938
16.3404,19.5579,-3.82662,2.95222,16.2338,19.6171,16.3262,19.6246,-4.01531,2.65237
16.1075,19.6396,-4.05488,2.61854,16.4366,18.2742,16.1237,19.7545,-4.08716,2.54364
15.8987,19.7939,-4.07985,2.67039,15.9243,19.8703,15.9176,19.8789,-4.15602,2.43329
15.6908,19.9198,-4.0821,2.65991,16.2328,19.2166,15.7082,19.9978,-4.22185,2.32141
15.4539,20.0924,-4.17687,2.75439,15.4332,20.1836,15.4956,20.111,-4.28461,2.2081
15.242,20.2225,-4.28256,2.59829,14.3677,21.3406,15.2799,20.2185,-4.34427,2.09347
15.0737,20.3531,-4.17535,2.58485,15.2016,20.4385,15.0613,20.3203,-4.4008,1.97763
14.8363,20.4309,-4.36543,2.27738,14.7476,19.9571,14.84,20.4162,-4.4542,1.86068
14.6264,20.5547,-4.35029,2.29532,14.6665,20.6088,14.6161,20.5063,-4.50443,1.74272
14.3904,20.6331,-4.52554,2.00487,13.841,21.0031,14.3897,20.5904,-4.55149,1.62386
14.1432,20.7126,-4.56567,1.96858,14.0521,20.5924,14.1611,20.6686,-4.59537,1.50421
13.9011,20.7795,-4.70925,1.71371,13.8232,20.859,13.9304,20.7408,-4.63606,1.38386
13.6152,20.8547,-4.82485,1.70794,13.4686,20.7253,13.6977,20.807,-4.67357,1.26294
13.3533,20.8881,-5.02106,1.33042,13.8263,20.4261,13.4632,20.8671,-4.70789,1.14153
13.118,20.9252,-4.97039,1.26595,13.1072,20.8294,13.2271,20.9211,-4.73904,1.01975
12.8714,20.9837,-5.02846,1.14511,13.2669,21.1579,12.9895,20.969,-4.76702,0.897694
12.7054,21.0174,-4.81178,1.07247,12.8729,21.0592,12.7506,21.0108,-4.79186,0.775469
12.4538,21.0477,-4.92517,0.858607,11.5171,21.6724,12.5106,21.0465,-4.81358,0.653175
12.205,21.0951,-4.93325,0.868293,12.2062,21.11,12.2695,21.0761,-4.83219,0.530912
11.9524,21.1141,-5.04342,0.625152,12.3859,21.1066,12.0276,21.0996,-4.84773,0.408778
11.723,21.0861,-4.96288,0.500473,11.6814,20.8651,11.785,21.117,-4.86022,0.286869
11.4593,21.0721,-5.06821,0.266927,11.5265,20.6748,11.5418,21.1283,-4.86971,0.165281
11.2636,21.0658,-4.91844,0.212087,11.363,21.0688,11.2982,21.1335,-4.87623,0.0441057
10.9948,21.0245,-5.03787,-0.0522301,10.5558,20.5567,11.0544,21.1327,-4.87982,-0.076565
10.8055,20.9871,-4.86962,-0.137727,10.8903,20.927,10.8105,21.1259,-4.88053,-0.196643
10.5559,20.9754,-4.88278,-0.14508,9.30535,21.3896,10.5666,21.1131,-4.8784,-0.31604
10.2436,21.0303,-5.07597,-0.00507658,10.189,21.209,10.3229,21.0943,-4.87349,-0.434674
9.98663,21.0103,-5.15996,-0.227942,9.97958,21.2932,10.0795,21.0697,-4.86585,-0.552463
9.8287,20.9696,-4.8998,-0.30954,9.99634,20.9797,9.83658,21.0391,-4.85554,-0.669327
9.58379,20.955,-4.90504,-0.319579,9.38223,21.111,9.59422,21.0028,-4.84262,-0.785189
9.41859,20.908,-4.69344,-0.398943,9.53921,20.8762,9.35258,20.9607,-4.82714,-0.899977
9.18088,20.8648,-4.78329,-0.659196,9.63392,20.9724,9.11177,20.9128,-4.80919,-1.01362
8.85363,20.8511,-5.01098,-0.601395,8.70331,20.8221,8.87192,20.8594,-4.78881,-1.12605
8.59697,20.7815,-5.0849,-0.862174,9.84634,20.009,8.63315,20.8003,-4.76608,-1.2372
8.31936,20.699,-5.12954,-0.932753,8.22277,20.4839,8.39557,20.7358,-4.74108,-1.34701
8.0579,20.6236,-5.19458,-1.1558,8.29647,20.4978,8.1593,20.6657,-4.71387,-1.45542
7.84099,20.5364,-5.07604,-1.22052,7.88599,20.45,7.92445,20.5903,-4.68453,-1.56237
7.58927,20.4571,-5.14417,-1.48296,8.29081,20.6565,7.69111,20.5096,-4.65313,-1.66781
7.27329,20.3965,-5.29803,-1.44601,7.18029,20.392,7.45939,20.4237,-4.61975,-1.7717
7.00477,20.3046,-5.32743,-1.5647,7.09214,20.1196,7.22939,20.3326,-4.58448,-1.87399
6.77111,20.2132,-5.23969,-1.59523,6.81542,20.1859,7.00119,20.2364,-4.54738,-1.97462
6.51056,20.1256,-5.25979,-1.69728,6.89359,20.1536,6.7749,20.1352,-4.50854,-2.07357
6.30449,20.0259,-5.10935,-1.73402,6.38914,20.0137,6.55059,20.0292,-4.46805,-2.17079
6.0543,19.936,-5.13466,-1.88193,6.67637,20.2142,6.32834,19.9183,-4.42598,-2.26625
5.82321,19.8357,-5.06689,-1.89727,5.86119,19.8306,6.10823,19.8027,-4.38241,-2.35993
5.56241,19.6912,-5.13562,-2.23259,5.28178,19.5036,5.89034,19.6824,-4.33744,-2.45178
5.45762,19.5553,-4.73674,-2.2979,5.69089,19.5755,5.67472,19.5577,-4.29114,-2.5418
5.21861,19.4106,-4.76624,-2.48192,5.9506,18.9859,5.46145,19.4284,-4.24359,-2.62995
5.04661,19.3023,-4.59949,-2.46086,5.17021,19.4397,5.25059,19.2948,-4.19488,-2.71622
4.82444,19.194,-4.58524,-2.44359,5.87397,19.301,5.04219,19.157,-4.1451,-2.80059
4.71788,19.0401,-4.2592,-2.51681,4.89149,18.982,4.8363,19.015,-4.09432,-2.88305
4.50062,18.884,-4.30927,-2.78194,3.98679,19.0452,4.63297,18.8689,-4.04263,-2.96359
4.35373,18.7508,-4.13319,-2.77878,4.4685,18.834,4.43224,18.7188,-3.99012,-3.0422
4.1488,18.6091,-4.13004,-2.79423,4.69245,18.4634,4.23416,18.5648,-3.93685,-3.11888
4.06999,18.4558,-3.79521,-2.83259,4.26269,18.481,4.03876,18.4071,-3.88293,-3.19362
3.87839,18.2765,-3.86635,-3.2796,3.42434,18.8357,3.84606,18.2457,-3.82841,-3.26644
3.59191,18.1321,-4.11322,-3.23406,3.45919,18.167,3.65611,18.0807,-3.77339,-3.33732
3.39103,17.9869,-4.09197,-3.1328,4.3011,17.9267,3.46891,17.9122,-3.71795,-3.40627
3.16519,17.8192,-4.14485,-3.15139,3.12525,17.7493,3.28449,17.7402,-3.66215,-3.47331
2.95906,17.6332,-4.17274,-3.44616,2.65664,17.888,3.10287,17.565,-3.60609,-3.53844
2.81575,17.5127,-4.0125,-3.35516,2.9449,17.8154,2.92405,17.3866,-3.54982,-3.60167
2.61826,17.2999,-4.03042,-3.69712,3.26647,17.0897,2.74805,17.2051,-3.49344,-3.66302
2.47336,17.1056,-3.8803,-3.71664,2.55407,17.0853,2.57486,17.0205,-3.437,-3.72251
2.27978,16.9412,-3.86589,-3.5334,2.55039,16.8884,2.4045,16.833,-3.38059,-3.78014
2.15243,16.7711,-3.694,-3.5235,2.25371,16.8334,2.23695,16.6427,-3.32428,-3.83595
1.9626,16.5702,-3.70319,-3.56584,1.57735,16.0489,2.07221,16.4497,-3.26812,-3.88995
1.8302,16.3423,-3.55636,-3.65682,1.88972,16.1054,1.91027,16.254,-3.21219,-3.94216
1.65345,16.164,-3.55455,-3.65213,1.74362,16.2687,1.75112,16.0557,-3.15656,-3.99261
1.46205,15.9989,-3.5932,-3.62034,1.44745,16.0853,1.59474,15.8549,-3.10129,-4.04132
1.28827,15.765,-3.58862,-4.00583,1.6097,15.5526,1.44111,15.6517,-3.04644,-4.08832
1.14167,15.5414,-3.49897,-4.04745,1.18395,15.4284,1.29021,15.4463,-2.99207,-4.13364
0.966689,15.3457,-3.5003,-4.04423,0.828993,15.528,1.14201,15.2386,-2.93825,-4.1773
0.765019,15.1223,-3.56792,-4.08337,0.722706,15.0075,0.996486,15.0288,-2.88503,-4.21933
0.588167,14.941,-3.56496,-3.97954,1.03147,15.2134,0.853604,14.8169,-2.83246,-4.25977
0.543895,14.7342,-3.21077,-3.98594,0.737301,14.7047,0.71333,14.603,-2.78061,-4.29864
0.390234,14.4882,-3.19034,-4.30738,0.722177,14.2445,0.575628,14.3872,-2.72952,-4.33598
0.240087,14.2615,-3.16453,-4.32714,0.253435,14.2029,0.440459,14.1696,-2.67925,-4.37181
0.088602,14.0033,-3.13995,-4.66576,-0.0328023,13.9604,0.307779,13.9502,-2.62984,-4.40617
0.146797,13.7583,-2.571,-4.66875,0.459172,13.6856,0.177545,13.7292,-2.58135,-4.43909
0.0210531,13.5117,-2.56109,-4.81732,0.0524412,13.6377,0.0497099,13.5065,-2.53381,-4.47061
-0.140948,13.2727,-2.65088,-4.81664,-0.190344,13.2856,-0.0757753,13.2823,-2.48728,-4.50075
-0.277103,13.0534,-2.66618,-4.66298,-0.275043,13.1456,-0.198962,13.0566,-2.44179,-4.52955
-0.223041,12.8427,-2.173,-4.60406,0.0462308,12.9301,-0.319903,12.8295,-2.39739,-4.55704
-0.336891,12.6145,-2.1903,-4.51282,-0.684792,12.3563,-0.438654,12.6011,-2.35412,-4.58326
-0.458991,12.3844,-2.22325,-4.52219,-0.476482,12.3633,-0.555273,12.3714,-2.31202,-4.60823
-0.573361,12.1729,-2.23169,-4.51041,-0.972122,12.5207,-0.669818,12.1404,-2.27111,-4.63198
-0.641825,11.9639,-2.1186,-4.4757,-0.582624,12.0386,-0.78235,11.9083,-2.23144,-4.65456
-0.750922,11.7308,-2.12313,-4.54129,-1.26757,11.6495,-0.892931,11.6751,-2.19304,-4.67598
-0.987069,11.4802,-2.46551,-4.60112,-1.17212,11.3988,-1.00163,11.4409,-2.15594,-4.69628
-1.11229,11.2504,-2.482,-4.50584,-0.891441,10.959,-1.1085,11.2057,-2.12017,-4.71549
-1.29908,11.0237,-2.64702,-4.51963,-1.39289,11.0424,-1.21362,10.9695,-2.08575,-4.73364
-1.41462,10.768,-2.56539,-4.81144,-1.29894,10.9012,-1.31706,10.7324,-2.05273,-4.75075
-1.52823,10.5112,-2.52748,-4.83782,-1.49687,10.4198,-1.41889,10.4945,-2.02111,-4.76686
-1.64309,10.2389,-2.47236,-5.03117,-1.59293,10.0212,-1.51917,10.2559,-1.99093,-4.78198
-1.69721,10.0359,-2.28784,-4.92407,-1.61875,10.2374,-1.61797,10.0165,-1.96221,-4.79615
-1.81138,9.80013,-2.29253,-4.87621,-1.59702,9.96554,-1.71539,9.77637,-1.93498,-4.80939
-1.84243,9.59285,-2.07183,-4.78559,-1.73381,9.71347,-1.81147,9.53564,-1.90924,-4.82172
-1.94114,9.33691,-2.02679,-4.95805,-2.27191,9.37316,-1.90631,9.29431,-1.88502,-4.83316
-2.01947,9.03921,-1.97022,-5.04319,-1.93833,8.77028,-1.99998,9.05243,-1.86233,-4.84374
-2.12405,8.81207,-2.00637,-4.91511,-1.96565,9.13274,-2.09256,8.81003,-1.8412,-4.85347
-2.20753,8.56478,-1.96274,-4.91251,-2.1768,8.5411,-2.18412,8.56717,-1.82164,-4.86238
-2.3083,8.31169,-1.95893,-4.965,-2.65862,8.19477,-2.27474,8.32388,-1.80365,-4.87047
-2.32858,8.09271,-1.75525,-4.88215,-2.21875,8.15339,-2.3645,8.0802,-1.78726,-4.87778
-2.41589,7.87391,-1.74506,-4.85122,-2.273,8.52315,-2.45348,7.83617,-1.77248,-4.8843
-2.54045,7.61902,-1.8425,-4.88892,-2.59674,7.60288,-2.54177,7.59184,-1.75931,-4.89006
-2.65721,7.39448,-1.95274,-4.73607,-3.08256,7.38874,-2.62944,7.34723,-1.74777,-4.89507
-2.77863,7.13599,-2.0163,-4.78788,-2.79865,7.064,-2.71658,7.10238,-1.73786,-4.89933
-2.86069,6.89226,-1.90382,-4.92847,-2.79412,7.20818,-2.80326,6.85734,-1.72958,-4.90286
-2.86113,6.70959,-1.65556,-4.7577,-2.74651,6.86867,-2.88957,6.61214,-1.72295,-4.90566
-2.94646,6.47746,-1.71264,-4.64379,-2.57673,6.36755,-2.97559,6.36681,-1.71797,-4.90774
-2.98831,6.25451,-1.60166,-4.60309,-2.90217,6.22989,-3.0614,6.12139,-1.71464,-4.90911
-3.06921,6.02146,-1.55584,-4.69615,-3.50172,6.10796,-3.14709,5.87592,-1.71297,-4.90976
-3.18336,5.72756,-1.65635,-4.83436,-3.1778,5.53101,-3.23274,5.63043,-1.71295,-4.9097
-3.28106,5.48344,-1.76275,-4.74294,-3.19736,5.19093,-3.31843,5.38496,-1.71458,-4.90893
-3.40399,5.20717,-1.85433,-4.84438,-3.43031,5.10507,-3.40424,5.13955,-1.71787,-4.90745
-3.4755,4.95704,-1.73543,-4.93654,-3.4281,4.94644,-3.49026,4.89422,-1.72281,-4.90525
-3.62313,4.64927,-1.89002,-5.10669,-3.69435,4.52196,-3.57657,4.64902,-1.72939,-4.90233
-3.73121,4.38889,-2.00962,-5.03627,-3.50501,4.17643,-3.66325,4.40398,-1.73763,-4.89868
-3.8895,4.09417,-2.14791,-5.1727,-4.00238,4.04684,-3.75039,4.15913,-1.74749,-4.8943
-3.97223,3.84572,-1.97803,-5.22547,-4.06447,4.10977,-3.83806,3.91452,-1.75899,-4.88918
-4.00487,3.65284,-1.82532,-5.01646,-3.88053,3.75177,-3.92635,3.67019,-1.77212,-4.8833
-4.11919,3.42371,-1.94448,-4.92829,-4.23729,3.88878,-4.01533,3.42616,-1.78686,-4.87666
-4.19692,3.19695,-1.90112,-4.86645,-4.15119,3.21968,-4.10509,3.18248,-1.8032,-4.86925
-4.30294,2.94936,-1.9797,-4.85266,-4.27467,2.88187,-4.19571,2.93919,-1.82113,-4.86104
-4.39999,2.66321,-1.97856,-4.95914,-4.32451,2.55034,-4.28727,2.69633,-1.84065,-4.85202
-4.4822,2.41739,-1.88636,-4.96783,-4.38481,2.39989,-4.37985,2.45393,-1.86173,-4.84218
-4.58949,2.13997,-1.91163,-5.05113,-4.61223,2.09192,-4.47352,2.21205,-1.88436,-4.83149
-4.70241,1.87677,-2.1261,-5.03312,-4.29257,1.92854,-4.56836,1.97072,-1.90853,-4.81994
